PID,core_times,x,y,duration
106,1682440152206,357.0,64.0,9.0
106,1682440152215,353.0,66.0,8.0
106,1682440152223,352.0,66.0,8.0
106,1682440152231,353.0,73.0,7.0
106,1682440152238,352.0,70.0,8.0
106,1682440152246,354.0,68.0,10.0
106,1682440152256,355.0,62.0,8.0
106,1682440152264,356.0,66.0,8.0
106,1682440152272,358.0,69.0,8.0
106,1682440152280,361.0,66.0,9.0
106,1682440152289,355.0,65.0,8.0
106,1682440152297,354.0,63.0,8.0
106,1682440152305,352.0,69.0,9.0
106,1682440152314,353.0,72.0,8.0
106,1682440152322,359.0,66.0,9.0
106,1682440152331,359.0,68.0,7.0
106,1682440152338,362.0,66.0,8.0
106,1682440152346,363.0,63.0,8.0
106,1682440152354,356.0,65.0,10.0
106,1682440152364,354.0,63.0,8.0
106,1682440152372,354.0,63.0,8.0
106,1682440152380,355.0,72.0,9.0
106,1682440152389,358.0,73.0,8.0
106,1682440152397,363.0,73.0,8.0
106,1682440152405,365.0,81.0,9.0
106,1682440152414,363.0,75.0,8.0
106,1682440152422,361.0,71.0,8.0
106,1682440152430,358.0,65.0,7.0
106,1682440152437,358.0,64.0,8.0
106,1682440152445,358.0,67.0,11.0
106,1682440152456,359.0,67.0,8.0
106,1682440152464,359.0,68.0,8.0
106,1682440152472,362.0,79.0,9.0
106,1682440152481,366.0,78.0,8.0
106,1682440152489,368.0,74.0,8.0
106,1682440152497,365.0,65.0,9.0
106,1682440152506,363.0,60.0,8.0
106,1682440152514,364.0,65.0,8.0
106,1682440152522,364.0,64.0,9.0
106,1682440152531,363.0,64.0,7.0
106,1682440152538,365.0,65.0,8.0
106,1682440152546,362.0,70.0,8.0
106,1682440152554,362.0,78.0,10.0
106,1682440152564,368.0,75.0,8.0
106,1682440152572,372.0,73.0,9.0
106,1682440152581,406.0,194.0,8.0
106,1682440152589,427.0,313.0,8.0
106,1682440152597,432.0,361.0,9.0
106,1682440152606,425.0,400.0,8.0
106,1682440152614,424.0,381.0,8.0
106,1682440152622,430.0,365.0,8.0
106,1682440152630,432.0,381.0,7.0
106,1682440152637,442.0,388.0,8.0
106,1682440152645,443.0,387.0,11.0
106,1682440152656,440.0,385.0,8.0
106,1682440152664,439.0,390.0,8.0
106,1682440152672,436.0,393.0,9.0
106,1682440152681,437.0,392.0,8.0
106,1682440152689,438.0,405.0,8.0
106,1682440152697,429.0,403.0,9.0
106,1682440152706,436.0,406.0,8.0
106,1682440152714,436.0,401.0,8.0
106,1682440152722,434.0,401.0,9.0
106,1682440152731,431.0,398.0,7.0
106,1682440152738,431.0,408.0,8.0
106,1682440152746,432.0,410.0,8.0
106,1682440152754,457.0,361.0,8.0
106,1682440152762,497.0,325.0,11.0
106,1682440152773,512.0,322.0,8.0
106,1682440152781,512.0,338.0,8.0
106,1682440152789,505.0,343.0,8.0
106,1682440152797,504.0,339.0,9.0
106,1682440152806,500.0,337.0,8.0
106,1682440152814,497.0,334.0,8.0
106,1682440152822,497.0,336.0,8.0
106,1682440152830,495.0,337.0,7.0
106,1682440152837,498.0,323.0,8.0
106,1682440152845,501.0,328.0,8.0
106,1682440152853,503.0,331.0,12.0
106,1682440152865,504.0,327.0,7.0
106,1682440152872,504.0,330.0,9.0
106,1682440152881,503.0,329.0,8.0
106,1682440152889,504.0,327.0,9.0
106,1682440152898,506.0,333.0,8.0
106,1682440152906,507.0,332.0,8.0
106,1682440152914,508.0,328.0,8.0
106,1682440152922,506.0,334.0,9.0
106,1682440152931,509.0,334.0,8.0
106,1682440152939,508.0,329.0,7.0
106,1682440152946,515.0,332.0,8.0
106,1682440152954,533.0,317.0,8.0
106,1682440152962,533.0,312.0,11.0
106,1682440152973,532.0,316.0,8.0
106,1682440152981,527.0,315.0,8.0
106,1682440152989,528.0,311.0,8.0
106,1682440152997,522.0,315.0,9.0
106,1682440153006,521.0,316.0,8.0
106,1682440153014,522.0,318.0,8.0
106,1682440153022,524.0,316.0,9.0
106,1682440153031,528.0,313.0,8.0
106,1682440153039,530.0,324.0,7.0
106,1682440153046,534.0,320.0,7.0
106,1682440153053,532.0,325.0,11.0
106,1682440153064,534.0,335.0,8.0
106,1682440153072,537.0,329.0,9.0
106,1682440153081,530.0,331.0,8.0
106,1682440153089,528.0,319.0,8.0
106,1682440153097,530.0,309.0,9.0
106,1682440153106,526.0,317.0,8.0
106,1682440153114,524.0,315.0,8.0
106,1682440153122,523.0,319.0,9.0
106,1682440153131,528.0,320.0,8.0
106,1682440153139,530.0,321.0,8.0
106,1682440153147,532.0,321.0,7.0
106,1682440153154,536.0,321.0,8.0
106,1682440153162,544.0,325.0,11.0
106,1682440153173,587.0,328.0,8.0
106,1682440153181,596.0,335.0,8.0
106,1682440153189,583.0,330.0,8.0
106,1682440153197,588.0,329.0,9.0
106,1682440153206,588.0,334.0,8.0
106,1682440153214,590.0,334.0,8.0
106,1682440153222,593.0,329.0,9.0
106,1682440153231,592.0,333.0,8.0
106,1682440153239,590.0,325.0,7.0
106,1682440153246,589.0,328.0,7.0
106,1682440153253,584.0,331.0,12.0
106,1682440153265,586.0,328.0,8.0
106,1682440153273,584.0,327.0,8.0
106,1682440153281,582.0,330.0,8.0
106,1682440153289,582.0,329.0,8.0
106,1682440153297,581.0,330.0,9.0
106,1682440153306,581.0,331.0,8.0
106,1682440153314,579.0,327.0,8.0
106,1682440153322,577.0,327.0,9.0
106,1682440153331,582.0,326.0,8.0
106,1682440153339,584.0,328.0,8.0
106,1682440153347,587.0,328.0,7.0
106,1682440153354,587.0,329.0,8.0
106,1682440153362,608.0,333.0,11.0
106,1682440153373,642.0,325.0,8.0
106,1682440153381,640.0,328.0,8.0
106,1682440153389,632.0,329.0,8.0
106,1682440153397,633.0,327.0,9.0
106,1682440153406,636.0,327.0,8.0
106,1682440153414,634.0,330.0,8.0
106,1682440153422,636.0,329.0,9.0
106,1682440153431,634.0,328.0,8.0
106,1682440153439,638.0,328.0,7.0
106,1682440153446,636.0,331.0,7.0
106,1682440153453,641.0,336.0,9.0
106,1682440153462,644.0,337.0,11.0
106,1682440153473,646.0,334.0,8.0
106,1682440153481,646.0,333.0,8.0
106,1682440153489,649.0,334.0,8.0
106,1682440153497,644.0,332.0,9.0
106,1682440153506,638.0,330.0,8.0
106,1682440153514,638.0,335.0,8.0
106,1682440153522,636.0,328.0,9.0
106,1682440153531,638.0,327.0,8.0
106,1682440153539,639.0,327.0,8.0
106,1682440153547,637.0,329.0,7.0
106,1682440153554,640.0,327.0,8.0
106,1682440153562,643.0,330.0,9.0
106,1682440153571,643.0,329.0,10.0
106,1682440153581,643.0,335.0,8.0
106,1682440153589,644.0,328.0,8.0
106,1682440153597,645.0,333.0,9.0
106,1682440153606,645.0,331.0,8.0
106,1682440153614,648.0,335.0,8.0
106,1682440153622,647.0,334.0,9.0
106,1682440153631,648.0,335.0,8.0
106,1682440153639,645.0,336.0,8.0
106,1682440153647,666.0,339.0,7.0
106,1682440153654,700.0,339.0,8.0
106,1682440153662,685.0,341.0,11.0
106,1682440153673,682.0,342.0,8.0
106,1682440153681,687.0,338.0,8.0
106,1682440153689,684.0,341.0,9.0
106,1682440153698,688.0,338.0,8.0
106,1682440153706,684.0,339.0,8.0
106,1682440153714,686.0,338.0,9.0
106,1682440153723,688.0,334.0,8.0
106,1682440153731,690.0,336.0,8.0
106,1682440153739,685.0,336.0,9.0
106,1682440153748,690.0,335.0,7.0
106,1682440153755,689.0,336.0,8.0
106,1682440153763,688.0,337.0,8.0
106,1682440153771,685.0,336.0,10.0
106,1682440153781,687.0,334.0,8.0
106,1682440153789,688.0,336.0,9.0
106,1682440153798,689.0,339.0,8.0
106,1682440153806,687.0,335.0,8.0
106,1682440153814,686.0,331.0,9.0
106,1682440153823,688.0,335.0,8.0
106,1682440153831,687.0,337.0,8.0
106,1682440153839,683.0,335.0,8.0
106,1682440153847,688.0,331.0,7.0
106,1682440153854,685.0,337.0,8.0
106,1682440153862,688.0,336.0,11.0
106,1682440153873,688.0,340.0,8.0
106,1682440153881,690.0,340.0,8.0
106,1682440153889,690.0,340.0,9.0
106,1682440153898,687.0,338.0,8.0
106,1682440153906,689.0,341.0,8.0
106,1682440153914,688.0,344.0,9.0
106,1682440153923,685.0,337.0,8.0
106,1682440153931,684.0,331.0,8.0
106,1682440153939,683.0,331.0,9.0
106,1682440153948,685.0,331.0,7.0
106,1682440153955,685.0,331.0,8.0
106,1682440153963,683.0,329.0,8.0
106,1682440153971,683.0,326.0,8.0
106,1682440153979,689.0,326.0,11.0
106,1682440153990,688.0,323.0,8.0
106,1682440153998,688.0,326.0,8.0
106,1682440154006,688.0,329.0,8.0
106,1682440154014,690.0,323.0,9.0
106,1682440154023,695.0,325.0,8.0
106,1682440154031,656.0,331.0,8.0
106,1682440154039,553.0,341.0,8.0
106,1682440154047,428.0,344.0,8.0
106,1682440154055,350.0,355.0,8.0
106,1682440154063,346.0,354.0,7.0
106,1682440154070,362.0,346.0,12.0
106,1682440154082,361.0,348.0,7.0
106,1682440154089,351.0,346.0,9.0
106,1682440154098,354.0,340.0,8.0
106,1682440154106,358.0,339.0,8.0
106,1682440154114,358.0,343.0,9.0
106,1682440154123,359.0,345.0,8.0
106,1682440154131,354.0,339.0,8.0
106,1682440154139,355.0,338.0,9.0
106,1682440154148,354.0,338.0,8.0
106,1682440154156,354.0,342.0,7.0
106,1682440154163,360.0,341.0,8.0
106,1682440154171,356.0,342.0,8.0
106,1682440154179,356.0,344.0,9.0
106,1682440154188,354.0,338.0,10.0
106,1682440154198,356.0,346.0,8.0
106,1682440154206,353.0,345.0,8.0
106,1682440154214,351.0,340.0,9.0
106,1682440154223,352.0,345.0,8.0
106,1682440154231,355.0,346.0,8.0
106,1682440154239,354.0,343.0,9.0
106,1682440154248,361.0,352.0,8.0
106,1682440154256,376.0,365.0,7.0
106,1682440154263,367.0,366.0,8.0
106,1682440154271,370.0,367.0,11.0
106,1682440154282,361.0,361.0,7.0
106,1682440154289,363.0,357.0,9.0
106,1682440154298,363.0,363.0,8.0
106,1682440154306,362.0,363.0,8.0
106,1682440154314,365.0,366.0,9.0
106,1682440154323,363.0,362.0,8.0
106,1682440154331,369.0,366.0,8.0
106,1682440154339,370.0,366.0,9.0
106,1682440154348,367.0,363.0,8.0
106,1682440154356,368.0,365.0,8.0
106,1682440154364,369.0,368.0,8.0
106,1682440154372,370.0,365.0,8.0
106,1682440154380,370.0,370.0,8.0
106,1682440154388,373.0,366.0,10.0
106,1682440154398,370.0,372.0,8.0
106,1682440154406,371.0,369.0,8.0
106,1682440154414,370.0,373.0,9.0
106,1682440154423,367.0,373.0,8.0
106,1682440154431,370.0,372.0,8.0
106,1682440154439,365.0,377.0,9.0
106,1682440154448,364.0,373.0,8.0
106,1682440154456,365.0,375.0,7.0
106,1682440154463,363.0,374.0,8.0
106,1682440154471,360.0,374.0,8.0
106,1682440154479,375.0,370.0,11.0
106,1682440154490,437.0,374.0,8.0
106,1682440154498,434.0,374.0,8.0
106,1682440154506,425.0,372.0,9.0
106,1682440154515,426.0,372.0,8.0
106,1682440154523,426.0,371.0,8.0
106,1682440154531,428.0,370.0,9.0
106,1682440154540,425.0,371.0,8.0
106,1682440154548,420.0,366.0,8.0
106,1682440154556,420.0,367.0,9.0
106,1682440154565,417.0,364.0,7.0
106,1682440154572,420.0,365.0,8.0
106,1682440154580,419.0,362.0,8.0
106,1682440154588,422.0,361.0,10.0
106,1682440154598,422.0,359.0,8.0
106,1682440154606,421.0,360.0,8.0
106,1682440154614,419.0,358.0,9.0
106,1682440154623,423.0,358.0,8.0
106,1682440154631,424.0,360.0,9.0
106,1682440154640,424.0,359.0,8.0
106,1682440154648,426.0,357.0,8.0
106,1682440154656,426.0,360.0,8.0
106,1682440154664,428.0,357.0,7.0
106,1682440154671,452.0,363.0,8.0
106,1682440154679,498.0,372.0,11.0
106,1682440154690,483.0,371.0,8.0
106,1682440154698,477.0,374.0,8.0
106,1682440154706,474.0,371.0,9.0
106,1682440154715,472.0,369.0,8.0
106,1682440154723,473.0,369.0,8.0
106,1682440154731,471.0,367.0,9.0
106,1682440154740,471.0,369.0,8.0
106,1682440154748,470.0,369.0,8.0
106,1682440154756,470.0,372.0,9.0
106,1682440154765,471.0,370.0,7.0
106,1682440154772,473.0,379.0,8.0
106,1682440154780,468.0,368.0,8.0
106,1682440154788,469.0,370.0,8.0
106,1682440154796,470.0,372.0,11.0
106,1682440154807,472.0,370.0,8.0
106,1682440154815,472.0,368.0,8.0
106,1682440154823,475.0,369.0,8.0
106,1682440154831,477.0,369.0,9.0
106,1682440154840,478.0,371.0,8.0
106,1682440154848,476.0,368.0,8.0
106,1682440154856,477.0,367.0,8.0
106,1682440154864,480.0,366.0,7.0
106,1682440154871,476.0,367.0,8.0
106,1682440154879,478.0,365.0,11.0
106,1682440154890,480.0,363.0,8.0
106,1682440154898,478.0,360.0,8.0
106,1682440154906,478.0,362.0,9.0
106,1682440154915,475.0,360.0,8.0
106,1682440154923,475.0,362.0,8.0
106,1682440154931,474.0,361.0,9.0
106,1682440154940,471.0,361.0,8.0
106,1682440154948,472.0,365.0,8.0
106,1682440154956,473.0,361.0,9.0
106,1682440154965,474.0,360.0,7.0
106,1682440154972,478.0,361.0,9.0
106,1682440154981,481.0,373.0,7.0
106,1682440154988,484.0,388.0,8.0
106,1682440154996,523.0,660.0,10.0
106,1682440155006,,,7.0
106,1682440155013,,,9.0
106,1682440155022,,,8.0
106,1682440155030,,,8.0
106,1682440155038,,,9.0
106,1682440155047,,,9.0
106,1682440155056,,,8.0
106,1682440155064,470.0,489.0,8.0
106,1682440155072,449.0,388.0,7.0
106,1682440155079,443.0,309.0,8.0
106,1682440155087,436.0,309.0,10.0
106,1682440155097,434.0,312.0,8.0
106,1682440155105,430.0,316.0,10.0
106,1682440155115,436.0,315.0,7.0
106,1682440155122,473.0,362.0,8.0
106,1682440155130,471.0,366.0,9.0
106,1682440155139,468.0,369.0,8.0
106,1682440155147,465.0,367.0,8.0
106,1682440155155,463.0,367.0,9.0
106,1682440155164,465.0,371.0,8.0
106,1682440155172,462.0,366.0,8.0
106,1682440155180,465.0,366.0,7.0
106,1682440155187,461.0,359.0,8.0
106,1682440155195,457.0,360.0,11.0
106,1682440155206,459.0,365.0,8.0
106,1682440155214,458.0,368.0,8.0
106,1682440155222,455.0,364.0,8.0
106,1682440155230,456.0,363.0,9.0
106,1682440155239,457.0,367.0,8.0
106,1682440155247,458.0,370.0,8.0
106,1682440155255,462.0,366.0,9.0
106,1682440155264,460.0,367.0,8.0
106,1682440155272,461.0,367.0,7.0
106,1682440155279,463.0,371.0,7.0
106,1682440155286,460.0,362.0,12.0
106,1682440155298,461.0,359.0,7.0
106,1682440155305,457.0,363.0,9.0
106,1682440155314,460.0,356.0,8.0
106,1682440155322,464.0,360.0,8.0
106,1682440155330,462.0,360.0,9.0
106,1682440155339,457.0,353.0,8.0
106,1682440155347,458.0,357.0,8.0
106,1682440155355,457.0,354.0,9.0
106,1682440155364,454.0,358.0,8.0
106,1682440155372,445.0,355.0,8.0
106,1682440155380,451.0,357.0,7.0
106,1682440155387,450.0,359.0,8.0
106,1682440155395,454.0,355.0,9.0
106,1682440155404,454.0,358.0,10.0
106,1682440155414,448.0,356.0,8.0
106,1682440155422,453.0,359.0,8.0
106,1682440155430,448.0,360.0,9.0
106,1682440155439,451.0,361.0,8.0
106,1682440155447,452.0,357.0,8.0
106,1682440155455,449.0,357.0,9.0
106,1682440155464,450.0,360.0,8.0
106,1682440155472,449.0,358.0,7.0
106,1682440155479,450.0,356.0,8.0
106,1682440155487,454.0,356.0,11.0
106,1682440155498,453.0,362.0,8.0
106,1682440155506,456.0,357.0,8.0
106,1682440155514,452.0,355.0,8.0
106,1682440155522,454.0,357.0,9.0
106,1682440155531,456.0,356.0,8.0
106,1682440155539,456.0,356.0,8.0
106,1682440155547,459.0,360.0,9.0
106,1682440155556,459.0,362.0,8.0
106,1682440155564,462.0,359.0,8.0
106,1682440155572,460.0,358.0,8.0
106,1682440155580,458.0,363.0,8.0
106,1682440155588,455.0,359.0,8.0
106,1682440155596,458.0,362.0,8.0
106,1682440155604,459.0,364.0,10.0
106,1682440155614,457.0,359.0,8.0
106,1682440155622,462.0,360.0,9.0
106,1682440155631,457.0,358.0,8.0
106,1682440155639,458.0,356.0,8.0
106,1682440155647,456.0,359.0,9.0
106,1682440155656,456.0,360.0,8.0
106,1682440155664,457.0,361.0,8.0
106,1682440155672,458.0,365.0,7.0
106,1682440155679,459.0,359.0,8.0
106,1682440155687,453.0,361.0,8.0
106,1682440155695,457.0,367.0,11.0
106,1682440155706,460.0,361.0,8.0
106,1682440155714,489.0,366.0,8.0
106,1682440155722,505.0,366.0,9.0
106,1682440155731,494.0,367.0,8.0
106,1682440155739,490.0,366.0,8.0
106,1682440155747,497.0,370.0,9.0
106,1682440155756,491.0,363.0,8.0
106,1682440155764,496.0,374.0,8.0
106,1682440155772,497.0,376.0,9.0
106,1682440155781,497.0,371.0,7.0
106,1682440155788,495.0,375.0,8.0
106,1682440155796,494.0,373.0,8.0
106,1682440155804,493.0,373.0,8.0
106,1682440155812,491.0,374.0,11.0
106,1682440155823,490.0,373.0,8.0
106,1682440155831,491.0,370.0,8.0
106,1682440155839,488.0,371.0,8.0
106,1682440155847,490.0,369.0,9.0
106,1682440155856,489.0,366.0,8.0
106,1682440155864,490.0,365.0,9.0
106,1682440155873,486.0,360.0,7.0
106,1682440155880,487.0,361.0,7.0
106,1682440155887,490.0,364.0,9.0
106,1682440155896,490.0,361.0,10.0
106,1682440155906,493.0,360.0,8.0
106,1682440155914,492.0,357.0,8.0
106,1682440155922,491.0,358.0,9.0
106,1682440155931,491.0,359.0,8.0
106,1682440155939,490.0,359.0,8.0
106,1682440155947,489.0,361.0,9.0
106,1682440155956,491.0,360.0,8.0
106,1682440155964,489.0,363.0,8.0
106,1682440155972,487.0,362.0,9.0
106,1682440155981,487.0,363.0,8.0
106,1682440155989,487.0,360.0,8.0
106,1682440155997,486.0,363.0,7.0
106,1682440156004,487.0,362.0,8.0
106,1682440156012,485.0,359.0,8.0
106,1682440156020,487.0,362.0,11.0
106,1682440156031,488.0,363.0,8.0
106,1682440156039,489.0,366.0,8.0
106,1682440156047,489.0,362.0,9.0
106,1682440156056,485.0,360.0,8.0
106,1682440156064,501.0,362.0,8.0
106,1682440156072,516.0,356.0,8.0
106,1682440156080,512.0,361.0,7.0
106,1682440156087,507.0,361.0,9.0
106,1682440156096,508.0,362.0,8.0
106,1682440156104,510.0,363.0,11.0
106,1682440156115,511.0,363.0,7.0
106,1682440156122,513.0,366.0,9.0
106,1682440156131,513.0,363.0,8.0
106,1682440156139,515.0,364.0,8.0
106,1682440156147,523.0,371.0,9.0
106,1682440156156,515.0,360.0,8.0
106,1682440156164,517.0,364.0,8.0
106,1682440156172,518.0,369.0,9.0
106,1682440156181,520.0,370.0,8.0
106,1682440156189,516.0,365.0,8.0
106,1682440156197,522.0,367.0,8.0
106,1682440156205,519.0,369.0,7.0
106,1682440156212,520.0,367.0,9.0
106,1682440156221,516.0,368.0,10.0
106,1682440156231,516.0,369.0,8.0
106,1682440156239,512.0,369.0,8.0
106,1682440156247,513.0,365.0,9.0
106,1682440156256,513.0,369.0,8.0
106,1682440156264,510.0,368.0,8.0
106,1682440156272,512.0,368.0,9.0
106,1682440156281,514.0,369.0,8.0
106,1682440156289,510.0,363.0,7.0
106,1682440156296,510.0,363.0,8.0
106,1682440156304,529.0,358.0,11.0
106,1682440156315,556.0,367.0,7.0
106,1682440156322,550.0,363.0,9.0
106,1682440156331,548.0,365.0,8.0
106,1682440156339,552.0,367.0,8.0
106,1682440156347,548.0,367.0,9.0
106,1682440156356,546.0,368.0,8.0
106,1682440156364,547.0,372.0,8.0
106,1682440156372,543.0,369.0,9.0
106,1682440156381,544.0,372.0,8.0
106,1682440156389,543.0,367.0,8.0
106,1682440156397,545.0,368.0,8.0
106,1682440156405,548.0,370.0,8.0
106,1682440156413,546.0,374.0,8.0
106,1682440156421,543.0,368.0,10.0
106,1682440156431,542.0,366.0,8.0
106,1682440156439,543.0,372.0,9.0
