fixation_rate_AOI_A1,fixation_rate_AOI_A2,fixation_rate_AOI_A3,fixation_rate_AOI_A4,fixation_rate_AOI_A5,fixation_rate_AOI_A6,avg_fixation_time_AOI_A1,avg_fixation_time_AOI_A2,avg_fixation_time_AOI_A3,avg_fixation_time_AOI_A4,avg_fixation_time_AOI_A5,avg_fixation_time_AOI_A6,is_correct,cluster
0.5761079,0.29672447,0.11368015,0.12716763,0.02119461,0.0,403.364549,385.051948,412.067797,332.424242,307.545455,0.0,1,0
0.5,0.38650307,0.36196319,0.11349693,0.0,0.0,638.883436,572.087302,487.330509,338.378378,0.0,0.0,1,0
0.68653422,0.15011038,0.0794702,0.16335541,0.01766004,0.0,471.771704,465.132353,591.75,302.891892,208.5,0.0,0,1
0.61971831,0.34647887,0.33521127,0.03380282,0.0084507,0.0,461.345455,604.154472,614.697479,488.166667,511.666667,0.0,0,1
0.52423698,0.32675045,0.07360862,0.14901257,0.10233393,0.0,424.787671,823.065934,420.146342,348.012048,359.333333,0.0,1,0
0.625263158,0.362105263,0.248421053,0.012631579,0.0,0.0,658.2424242,911.7848837,763.2711864,346.0,0.0,0.0,1,0
0.621761658,0.259067358,0.079447323,0.119170984,0.005181347,0.0,627.175,547.1066667,638.9130435,614.5797101,218.3333333,0.0,1,0
0.476258993,0.282014388,0.15971223,0.241726619,0.0,0.0,517.0876133,576.1173469,647.3333333,864.1130952,0.0,0.0,1,0
0.494464945,0.455719557,0.184501845,0.049815498,0.0,0.0,613.0,593.0404858,625.27,352.037037,0.0,0.0,1,0
0.652830189,0.218867925,0.169811321,0.128301887,0.0,0.0,634.7052023,1146.396552,708.4222222,343.9117647,0.0,0.0,0,1
0.63253012,0.265060241,0.108433735,0.102409639,0.06626506,0.0,522.8571429,627.2272727,891.8611111,317.0882353,312.0454545,0.0,0,1
0.554707379,0.391857506,0.096692112,0.053435115,0.0,0.0,511.2752294,645.7142857,735.8157895,268.2857143,0.0,0.0,1,0
0.461414791,0.454983923,0.207395498,0.083601286,0.0,0.0,540.9860627,615.3003534,564.4573643,337.5192308,0.0,0.0,1,0
0.558988764,0.387640449,0.233146067,0.053370787,0.0,0.0,482.4170854,542.5289855,665.6626506,295.6315789,0.0,0.0,1,0
0.56424581,0.37150838,0.346368715,0.06424581,0.0,0.0,665.5841584,819.0902256,711.3306452,334.173913,0.0,0.0,1,0
