PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
116,T6,10,bug_total,0,0,0,272,296348,1089.514705882353
116,T6,10,bug_priority,1,0,0,0,0,NA
116,T6,10,bug_author,2,0,0,23,69819,3035.608695652174
116,T6,10,bug_summary,3,0,0,122,123291,1010.5819672131148
116,T6,10,bug_patch_code,4,0,0,125,100854,806.832
101,T1,9,bug_total,0,0,1,147,92414,628.6666666666666
101,T1,9,bug_priority,1,0,1,0,0,NA
101,T1,9,bug_author,2,0,1,18,10742,596.7777777777778
101,T1,9,bug_summary,3,0,1,73,43852,600.7123287671233
101,T1,9,bug_patch_code,4,0,1,56,37820,675.3571428571429
101,T2,2,bug_total,0,1,0,162,106765,659.0432098765432
101,T2,2,bug_priority,1,1,0,0,0,NA
101,T2,2,bug_author,2,1,0,10,10194,1019.4
101,T2,2,bug_summary,3,1,0,20,10557,527.85
101,T2,2,bug_patch_code,4,1,0,124,81999,661.2822580645161
101,T3,8,bug_total,0,1,1,110,100785,916.2272727272727
101,T3,8,bug_priority,1,1,1,0,0,NA
101,T3,8,bug_author,2,1,1,7,5169,738.4285714285714
101,T3,8,bug_summary,3,1,1,17,24446,1438.0
101,T3,8,bug_patch_code,4,1,1,83,70060,844.0963855421687
101,T4,15,bug_total,0,1,0,111,97538,878.7207207207207
101,T4,15,bug_priority,1,1,0,2,1173,586.5
101,T4,15,bug_author,2,1,0,14,11678,834.1428571428571
101,T4,15,bug_summary,3,1,0,6,2338,389.6666666666667
101,T4,15,bug_patch_code,4,1,0,80,78037,975.4625
101,T5,18,bug_total,0,1,1,102,66983,656.6960784313726
101,T5,18,bug_priority,1,1,1,2,721,360.5
101,T5,18,bug_author,2,1,1,8,6274,784.25
101,T5,18,bug_summary,3,1,1,7,4074,582.0
101,T5,18,bug_patch_code,4,1,1,51,33283,652.6078431372549
101,T6,23,bug_total,0,0,1,89,60806,683.2134831460675
101,T6,23,bug_priority,1,0,1,2,450,225.0
101,T6,23,bug_author,2,0,1,30,24264,808.8
101,T6,23,bug_summary,3,0,1,29,14100,486.2068965517241
101,T6,23,bug_patch_code,4,0,1,19,12856,676.6315789473684
105,T1,16,bug_total,0,1,0,295,201404,682.7254237288136
105,T1,16,bug_priority,1,1,0,1,883,883.0
105,T1,16,bug_author,2,1,0,15,9064,604.2666666666667
105,T1,16,bug_summary,3,1,0,6,4456,742.6666666666666
105,T1,16,bug_patch_code,4,1,0,243,157968,650.074074074074
105,T2,21,bug_total,0,0,0,192,136036,708.5208333333334
105,T2,21,bug_priority,1,0,0,3,1749,583.0
105,T2,21,bug_author,2,0,0,25,12631,505.24
105,T2,21,bug_summary,3,0,0,27,16979,628.8518518518518
105,T2,21,bug_patch_code,4,0,0,131,102763,784.4503816793894
105,T3,19,bug_total,0,1,0,258,205689,797.2441860465116
105,T3,19,bug_priority,1,1,0,1,184,184.0
105,T3,19,bug_author,2,1,0,10,8107,810.7
105,T3,19,bug_summary,3,1,0,8,6965,870.625
105,T3,19,bug_patch_code,4,1,0,207,174211,841.5990338164252
105,T4,10,bug_total,0,0,0,165,98603,597.5939393939394
105,T4,10,bug_priority,1,0,0,3,1280,426.6666666666667
105,T4,10,bug_author,2,0,0,17,6244,367.2941176470589
105,T4,10,bug_summary,3,0,0,48,36595,762.3958333333334
105,T4,10,bug_patch_code,4,0,0,94,53617,570.3936170212766
105,T5,7,bug_total,0,1,0,166,105525,635.6927710843373
105,T5,7,bug_priority,1,1,0,1,142,142.0
105,T5,7,bug_author,2,1,0,18,9527,529.2777777777778
105,T5,7,bug_summary,3,1,0,19,9670,508.9473684210527
105,T5,7,bug_patch_code,4,1,0,99,67244,679.2323232323232
105,T6,2,bug_total,0,1,1,75,48565,647.5333333333333
105,T6,2,bug_priority,1,1,1,2,441,220.5
105,T6,2,bug_author,2,1,1,11,4609,419.0
105,T6,2,bug_summary,3,1,1,19,12315,648.1578947368421
105,T6,2,bug_patch_code,4,1,1,39,29784,763.6923076923077
112,T1,15,bug_total,0,1,0,15,4427,295.1333333333333
112,T1,15,bug_priority,1,1,0,0,0,NA
112,T1,15,bug_author,2,1,0,8,2648,331.0
112,T1,15,bug_summary,3,1,0,3,992,330.6666666666667
112,T1,15,bug_patch_code,4,1,0,1,308,308.0
112,T2,23,bug_total,0,0,0,14,4037,288.35714285714283
112,T2,23,bug_priority,1,0,0,0,0,NA
112,T2,23,bug_author,2,0,0,2,219,109.5
112,T2,23,bug_summary,3,0,0,2,514,257.0
112,T2,23,bug_patch_code,4,0,0,6,2240,373.3333333333333
112,T3,18,bug_total,0,1,0,129,79257,614.3953488372093
112,T3,18,bug_priority,1,1,0,3,967,322.3333333333333
112,T3,18,bug_author,2,1,0,4,1484,371.0
112,T3,18,bug_summary,3,1,0,13,12377,952.0769230769232
112,T3,18,bug_patch_code,4,1,0,101,57529,569.5940594059406
112,T4,10,bug_total,0,0,0,96,43876,457.0416666666667
112,T4,10,bug_priority,1,0,0,0,0,NA
112,T4,10,bug_author,2,0,0,9,4363,484.77777777777777
112,T4,10,bug_summary,3,0,0,42,14739,350.92857142857144
112,T4,10,bug_patch_code,4,0,0,44,22940,521.3636363636364
112,T5,3,bug_total,0,1,1,22,11772,535.0909090909091
112,T5,3,bug_priority,1,1,1,0,0,NA
112,T5,3,bug_author,2,1,1,1,92,92.0
112,T5,3,bug_summary,3,1,1,2,523,261.5
112,T5,3,bug_patch_code,4,1,1,16,10489,655.5625
112,T6,6,bug_total,0,1,1,88,58394,663.5681818181819
112,T6,6,bug_priority,1,1,1,0,0,NA
112,T6,6,bug_author,2,1,1,3,639,213.0
112,T6,6,bug_summary,3,1,1,22,13016,591.6363636363636
112,T6,6,bug_patch_code,4,1,1,60,42990,716.5
121,T1,5,bug_total,0,1,1,123,61203,497.5853658536585
121,T1,5,bug_priority,1,1,1,1,183,183.0
121,T1,5,bug_author,2,1,1,3,668,222.66666666666663
121,T1,5,bug_summary,3,1,1,40,16779,419.475
121,T1,5,bug_patch_code,4,1,1,78,43113,552.7307692307693
121,T2,24,bug_total,0,0,0,204,80841,396.27941176470586
121,T2,24,bug_priority,1,0,0,2,915,457.5
121,T2,24,bug_author,2,0,0,37,15063,407.1081081081081
121,T2,24,bug_summary,3,0,0,26,7739,297.65384615384613
121,T2,24,bug_patch_code,4,0,0,109,45028,413.1009174311927
121,T3,16,bug_total,0,1,1,190,100688,529.9368421052632
121,T3,16,bug_priority,1,1,1,3,1014,338.0
121,T3,16,bug_author,2,1,1,35,21799,622.8285714285714
121,T3,16,bug_summary,3,1,1,11,4664,424.0
121,T3,16,bug_patch_code,4,1,1,120,64616,538.4666666666667
121,T4,18,bug_total,0,1,0,357,175321,491.0952380952381
121,T4,18,bug_priority,1,1,0,3,871,290.3333333333333
121,T4,18,bug_author,2,1,0,38,15384,404.8421052631579
121,T4,18,bug_summary,3,1,0,38,15224,400.6315789473685
121,T4,18,bug_patch_code,4,1,0,240,131216,546.7333333333333
121,T5,9,bug_total,0,0,0,246,120857,491.2886178861789
121,T5,9,bug_priority,1,0,0,1,90,90.0
121,T5,9,bug_author,2,0,0,26,8878,341.46153846153845
121,T5,9,bug_summary,3,0,0,102,46173,452.6764705882353
121,T5,9,bug_patch_code,4,0,0,114,58781,515.6228070175439
121,T6,3,bug_total,0,1,0,171,78264,457.6842105263158
121,T6,3,bug_priority,1,1,0,2,1024,512.0
121,T6,3,bug_author,2,1,0,56,21175,378.125
121,T6,3,bug_summary,3,1,0,30,9809,326.96666666666664
121,T6,3,bug_patch_code,4,1,0,62,38485,620.7258064516129
136,T1,5,bug_total,0,1,1,365,198746,544.5095890410959
136,T1,5,bug_priority,1,1,1,0,0,NA
136,T1,5,bug_author,2,1,1,32,13051,407.84375
136,T1,5,bug_summary,3,1,1,123,47698,387.7886178861789
136,T1,5,bug_patch_code,4,1,1,208,137438,660.7596153846154
136,T2,13,bug_total,0,1,0,264,122371,463.5265151515151
136,T2,13,bug_priority,1,1,0,4,754,188.5
136,T2,13,bug_author,2,1,0,43,15472,359.8139534883721
136,T2,13,bug_summary,3,1,0,52,22059,424.21153846153845
136,T2,13,bug_patch_code,4,1,0,163,83328,511.2147239263804
136,T3,22,bug_total,0,0,0,382,221529,579.9188481675393
136,T3,22,bug_priority,1,0,0,3,3951,1317.0
136,T3,22,bug_author,2,0,0,24,9793,408.0416666666667
136,T3,22,bug_summary,3,0,0,129,79239,614.2558139534884
136,T3,22,bug_patch_code,4,0,0,226,128546,568.787610619469
136,T4,12,bug_total,0,0,1,229,103198,450.646288209607
136,T4,12,bug_priority,1,0,1,3,1245,415.0
136,T4,12,bug_author,2,0,1,28,11980,427.8571428571428
136,T4,12,bug_summary,3,0,1,57,20320,356.49122807017545
136,T4,12,bug_patch_code,4,0,1,39,23610,605.3846153846154
136,T5,20,bug_total,0,1,0,257,125634,488.8482490272373
136,T5,20,bug_priority,1,1,0,0,0,NA
136,T5,20,bug_author,2,1,0,18,6540,363.3333333333333
136,T5,20,bug_summary,3,1,0,57,23416,410.8070175438597
136,T5,20,bug_patch_code,4,1,0,164,88052,536.9024390243902
136,T6,3,bug_total,0,1,0,130,63030,484.84615384615387
136,T6,3,bug_priority,1,1,0,0,0,NA
136,T6,3,bug_author,2,1,0,35,15011,428.8857142857143
136,T6,3,bug_summary,3,1,0,18,7963,442.3888888888889
136,T6,3,bug_patch_code,4,1,0,61,32896,539.2786885245902
118,T1,4,bug_total,0,1,1,77,39734,516.025974025974
118,T1,4,bug_priority,1,1,1,0,0,NA
118,T1,4,bug_author,2,1,1,16,7888,493.0
118,T1,4,bug_summary,3,1,1,10,2996,299.6
118,T1,4,bug_patch_code,4,1,1,37,24625,665.5405405405405
118,T2,5,bug_total,0,1,1,220,149556,679.8
118,T2,5,bug_priority,1,1,1,2,2150,1075.0
118,T2,5,bug_author,2,1,1,34,25012,735.6470588235294
118,T2,5,bug_summary,3,1,1,45,24633,547.4
118,T2,5,bug_patch_code,4,1,1,134,96099,717.1567164179105
118,T3,23,bug_total,0,0,0,296,199956,675.527027027027
118,T3,23,bug_priority,1,0,0,2,981,490.5
118,T3,23,bug_author,2,0,0,47,26735,568.8297872340426
118,T3,23,bug_summary,3,0,0,68,25729,378.36764705882354
118,T3,23,bug_patch_code,4,0,0,143,122787,858.6503496503497
118,T4,18,bug_total,0,1,0,284,192421,677.5387323943662
118,T4,18,bug_priority,1,1,0,2,1275,637.5
118,T4,18,bug_author,2,1,0,23,10281,447.0
118,T4,18,bug_summary,3,1,0,9,3854,428.22222222222223
118,T4,18,bug_patch_code,4,1,0,234,167589,716.1923076923077
118,T5,12,bug_total,0,0,0,131,65156,497.37404580152673
118,T5,12,bug_priority,1,0,0,0,0,NA
118,T5,12,bug_author,2,0,0,36,13965,387.9166666666667
118,T5,12,bug_summary,3,0,0,29,14132,487.3103448275862
118,T5,12,bug_patch_code,4,0,0,42,25649,610.6904761904761
118,T6,13,bug_total,0,1,1,228,136667,599.4166666666666
118,T6,13,bug_priority,1,1,1,2,712,356.0
118,T6,13,bug_author,2,1,1,25,10031,401.24
118,T6,13,bug_summary,3,1,1,25,14592,583.68
118,T6,13,bug_patch_code,4,1,1,172,109139,634.5290697674419
132,T1,8,bug_total,0,1,0,386,154990,401.5284974093264
132,T1,8,bug_priority,1,1,0,1,225,225.0
132,T1,8,bug_author,2,1,0,56,21080,376.4285714285714
132,T1,8,bug_summary,3,1,0,46,17267,375.3695652173913
132,T1,8,bug_patch_code,4,1,0,247,104640,423.6437246963563
132,T2,24,bug_total,0,0,1,193,97686,506.14507772020727
132,T2,24,bug_priority,1,0,1,1,216,216.0
132,T2,24,bug_author,2,0,1,63,46572,739.2380952380952
132,T2,24,bug_summary,3,0,1,24,6062,252.58333333333331
132,T2,24,bug_patch_code,4,0,1,64,31748,496.0625
132,T3,17,bug_total,0,1,1,335,136648,407.9044776119403
132,T3,17,bug_priority,1,1,1,1,141,141.0
132,T3,17,bug_author,2,1,1,33,13275,402.27272727272725
132,T3,17,bug_summary,3,1,1,42,12179,289.9761904761905
132,T3,17,bug_patch_code,4,1,1,258,110684,429.0077519379845
132,T4,11,bug_total,0,0,1,207,154402,745.903381642512
132,T4,11,bug_priority,1,0,1,0,0,NA
132,T4,11,bug_author,2,0,1,20,7738,386.9
132,T4,11,bug_summary,3,0,1,41,92344,2252.292682926829
132,T4,11,bug_patch_code,4,0,1,64,21312,333.0
132,T5,1,bug_total,0,1,1,140,53673,383.3785714285714
132,T5,1,bug_priority,1,1,1,0,0,NA
132,T5,1,bug_author,2,1,1,41,13661,333.1951219512195
132,T5,1,bug_summary,3,1,1,32,12970,405.3125
132,T5,1,bug_patch_code,4,1,1,65,26483,407.4307692307692
132,T6,14,bug_total,0,1,1,195,82794,424.5846153846154
132,T6,14,bug_priority,1,1,1,0,0,NA
