PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
103,T6,12,RelevantTestClass,A4,0,0,14,0.0903225806451612,3680,262.85714285714283,2790.0
103,T6,12,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
103,T6,12,Others,A6,0,0,0,0.0,0,NA,NA
104,T1,23,Total,A0,0,0,74,1.0,38977,526.7162162162163,NA
104,T1,23,BugReport,A1,0,0,29,0.3918918918918919,13909,479.6206896551725,25069.0
104,T1,23,RelevantCodeClass,A2,0,0,29,0.3918918918918919,15604,538.0689655172414,1.0
104,T1,23,RelevantCodeMethod,A3,0,0,29,0.3918918918918919,15604,538.0689655172414,1.0
104,T1,23,RelevantTestClass,A4,0,0,12,0.1621621621621621,8831,735.9166666666666,5197.0
104,T1,23,RelevantTestMethod,A5,0,0,7,0.0945945945945946,6599,942.7142857142856,6279.0
104,T1,23,Others,A6,0,0,4,0.054054054054054,633,158.25,4564.0
104,T2,2,Total,A0,1,1,233,1.0,156556,671.9141630901288,NA
104,T2,2,BugReport,A1,1,1,133,0.5708154506437768,93875,705.827067669173,1.0
104,T2,2,RelevantCodeClass,A2,1,1,74,0.3175965665236051,47947,647.9324324324324,7186.0
104,T2,2,RelevantCodeMethod,A3,1,1,70,0.3004291845493562,41022,586.0285714285715,7186.0
104,T2,2,RelevantTestClass,A4,1,1,5,0.0214592274678111,2703,540.6,24373.0
104,T2,2,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
104,T2,2,Others,A6,1,1,21,0.0901287553648068,12031,572.9047619047619,31601.0
104,T3,14,Total,A0,1,1,294,1.0,202242,687.8979591836735,NA
104,T3,14,BugReport,A1,1,1,85,0.2891156462585034,52945,622.8823529411765,3263.0
104,T3,14,RelevantCodeClass,A2,1,1,139,0.4727891156462585,97261,699.7194244604317,3745.0
104,T3,14,RelevantCodeMethod,A3,1,1,63,0.2142857142857142,51700,820.6349206349206,8175.0
104,T3,14,RelevantTestClass,A4,1,1,59,0.2006802721088435,46452,787.3220338983051,1.0
104,T3,14,RelevantTestMethod,A5,1,1,14,0.0476190476190476,18336,1309.7142857142858,610.0
104,T3,14,Others,A6,1,1,11,0.0374149659863945,5584,507.6363636363636,51233.0
104,T4,7,Total,A0,1,0,292,1.0,286965,982.7568493150684,NA
104,T4,7,BugReport,A1,1,0,136,0.4657534246575342,159951,1176.110294117647,4362.0
104,T4,7,RelevantCodeClass,A2,1,0,154,0.5273972602739726,126162,819.2337662337662,1.0
104,T4,7,RelevantCodeMethod,A3,1,0,150,0.5136986301369864,124720,831.4666666666667,1.0
104,T4,7,RelevantTestClass,A4,1,0,2,0.0068493150684931,852,426.0,143592.0
104,T4,7,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
104,T4,7,Others,A6,1,0,0,0.0,0,NA,NA
104,T5,19,Total,A0,1,0,405,1.0,417965,1032.0123456790122,NA
104,T5,19,BugReport,A1,1,0,164,0.4049382716049383,204020,1244.0243902439024,1.0
104,T5,19,RelevantCodeClass,A2,1,0,238,0.5876543209876544,212381,892.3571428571429,1339.0
104,T5,19,RelevantCodeMethod,A3,1,0,126,0.3111111111111111,109978,872.8412698412699,1339.0
104,T5,19,RelevantTestClass,A4,1,0,3,0.0074074074074074,1564,521.3333333333334,5318.0
104,T5,19,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
104,T5,19,Others,A6,1,0,0,0.0,0,NA,NA
104,T6,10,Total,A0,0,0,385,1.0,332634,863.9844155844156,NA
104,T6,10,BugReport,A1,0,0,103,0.2675324675324675,59017,572.9805825242719,3263.0
104,T6,10,RelevantCodeClass,A2,0,0,191,0.4961038961038961,147744,773.5287958115183,1.0
104,T6,10,RelevantCodeMethod,A3,0,0,123,0.3194805194805195,80744,656.4552845528456,1.0
104,T6,10,RelevantTestClass,A4,0,0,91,0.2363636363636363,125873,1383.2197802197802,7270.0
104,T6,10,RelevantTestMethod,A5,0,0,13,0.0337662337662337,5881,452.38461538461536,23313.0
104,T6,10,Others,A6,0,0,0,0.0,0,NA,NA
105,T1,16,Total,A0,1,0,626,1.0,392102,626.3610223642172,NA
105,T1,16,BugReport,A1,1,0,295,0.4712460063897764,201404,682.7254237288136,4559.0
105,T1,16,RelevantCodeClass,A2,1,0,304,0.4856230031948881,178129,585.9506578947369,6811.0
105,T1,16,RelevantCodeMethod,A3,1,0,67,0.1070287539936102,54384,811.7014925373135,173824.0
105,T1,16,RelevantTestClass,A4,1,0,0,0.0,0,NA,NA
105,T1,16,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
105,T1,16,Others,A6,1,0,27,0.0431309904153354,12569,465.5185185185185,1.0
105,T2,21,Total,A0,0,0,412,1.0,251131,609.5412621359224,NA
105,T2,21,BugReport,A1,0,0,192,0.4660194174757281,136036,708.5208333333334,41548.0
105,T2,21,RelevantCodeClass,A2,0,0,171,0.4150485436893203,92539,541.1637426900585,1.0
105,T2,21,RelevantCodeMethod,A3,0,0,82,0.1990291262135922,41217,502.6463414634146,2731.0
105,T2,21,RelevantTestClass,A4,0,0,49,0.1189320388349514,22556,460.3265306122449,19596.0
